Glucose Data,Generated on,21-11-2024 12:39 UTC,Generated by,Carlisha  Steele 
Device,Serial Number,Device Timestamp,Record Type,Historic Glucose mmol/L,Scan Glucose mmol/L,Non-numeric Rapid-Acting Insulin,Rapid-Acting Insulin (units),Non-numeric Food,Carbohydrates (grams),Carbohydrates (servings),Non-numeric Long-Acting Insulin,Long-Acting Insulin (units),Notes,Strip Glucose mmol/L,Ketone mmol/L,Meal Insulin (units),Correction Insulin (units),User Change Insulin (units)
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 08:55,0,6.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 09:10,0,6.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 09:25,0,7.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 09:40,0,8.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 09:55,0,9.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 10:10,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 10:25,0,10.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 10:40,0,11.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 10:55,0,12.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 11:10,0,12.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 11:26,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 11:41,0,11.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 11:56,0,10.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 12:11,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 12:26,0,8.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 12:41,0,6.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 12:56,0,5.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 13:12,0,4.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 13:27,0,3.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 13:42,0,3.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 13:57,0,4.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 14:13,0,7.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 14:28,0,9.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 14:43,0,10.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 14:58,0,11.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 15:13,0,11.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 15:28,0,12.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 15:43,0,12.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 15:58,0,13.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 16:14,0,14.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 16:29,0,14.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 16:44,0,14.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 16:59,0,13.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 17:14,0,12.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 17:29,0,12.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 17:44,0,11.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 17:59,0,11.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 18:14,0,10.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 18:29,0,8.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 18:45,0,9.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 19:00,0,8.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 19:15,0,8.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 19:30,0,8.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 19:45,0,8.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 20:00,0,8.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 20:15,0,8.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 20:31,0,9.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 20:46,0,9.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 21:01,0,11.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 21:16,0,12.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 21:31,0,12.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 21:46,0,12.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 22:01,0,13.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 22:16,0,12.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 22:31,0,11.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 22:47,0,11.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 23:02,0,13.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 23:17,0,11.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 23:32,0,10.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,03-11-2024 23:47,0,10.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 00:02,0,9.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 00:17,0,9.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 00:32,0,8.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 00:47,0,7.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 01:02,0,7.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 01:17,0,8.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 01:32,0,8.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 01:47,0,8.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 02:02,0,8.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 02:19,0,9.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 02:34,0,10.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 02:49,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 03:04,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 03:19,0,9.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 03:34,0,9.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 03:49,0,9.4,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 04:04,0,9.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 04:19,0,9.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 04:34,0,9.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 04:49,0,9.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 05:04,0,9.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 05:19,0,9.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 05:34,0,9.7,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 05:49,0,9.9,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 06:05,0,10.1,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 06:20,0,10.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 06:35,0,11.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 06:50,0,11.8,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 07:05,0,12.0,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 07:20,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 07:35,0,12.3,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 07:50,0,12.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 08:06,0,12.6,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 08:21,0,13.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 08:36,0,13.2,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 08:51,0,12.5,,,,,,,,,,,,,,
FreeStyle Libre 2,MHGE055-T5541,04-11-2024 09:06,0,11.4,,,,,,,,,,,,,,
